wl,n
0.2200,2.5793682065907
0.2270,2.5201127703126
0.2342,2.4721616189951
0.2416,2.4326348951677
0.2493,2.3991625121817
0.2572,2.3708692899471
0.2653,2.3466881647194
0.2738,2.3253638504229
0.2825,2.3068917836211
0.2914,2.2907674092727
0.3007,2.2763086399524
0.3102,2.2635700736893
0.3200,2.2521746338037
0.3302,2.2418524761598
0.3407,2.2325739740962
0.3515,2.2242087258392
0.3626,2.216645938176
0.3741,2.2097344403726
0.3860,2.2034122716924
0.3983,2.1976235193325
0.4109,2.1923571650885
0.4239,2.1875197713715
0.4374,2.1830406399517
0.4513,2.1789221570552
0.4656,2.17513093423
0.4804,2.17161435839
0.4956,2.1683723275911
0.5113,2.1653613261694
0.5275,2.1625639102645
0.5443,2.1599488740012
0.5615,2.1575318181514
0.5794,2.1552578242028
0.5977,2.153153159251
0.6167,2.1511718015143
0.6363,2.1493163605203
0.6565,2.147577722233
0.6773,2.1459471735322
0.6988,2.1444095920844
0.7210,2.1429588731965
0.7438,2.1415947120306
0.7674,2.1402992816118
0.7918,2.1390682552755
0.8169,2.137901689062
0.8428,2.1367900214596
0.8696,2.1357251429464
0.8972,2.1347071946994
0.9256,2.1337319556327
0.9550,2.1327891226052
0.9853,2.1318787895305
1.017,2.1309838147977
1.049,2.1301315566498
1.082,2.1292988418616
1.116,2.1284828324042
1.152,2.1276582703521
1.188,2.1268680277649
1.226,2.1260651241251
1.265,2.1252688629888
1.305,2.1244762176375
1.347,2.1236651504234
1.389,2.1228713494544
1.433,2.1220540501848
1.479,2.1212111845774
1.526,2.120358417575
1.574,2.1194927932322
1.624,2.1185934691408
1.676,2.1176575523455
1.729,2.1167000208679
1.784,2.1156996832442
1.840,2.114671571013
1.899,2.1135753685765
1.959,2.1124444974301
2.021,2.1112566006818
2.085,2.1100075887411
2.151,2.108693179482
2.220,2.1072883034549
2.290,2.1058289739164
2.363,2.1042685373885
2.438,2.1026223860629
2.515,2.1008851013937
2.595,2.0990274767774
2.677,2.0970657429754
2.762,2.0949685701414
2.850,2.0927269563189
2.940,2.0903580736439
3.033,2.087826802203
3.130,2.0850937591033
3.229,2.0822038179539
3.331,2.0791171012231
3.437,2.0757886047842
3.546,2.0722339200696
3.659,2.0684033747993
3.775,2.0643125290026
3.894,2.0599437411386
4.018,2.055199933367
4.146,2.0500912468475
4.277,2.0446321247135
4.413,2.038708590514
4.553,2.0323277564024
4.697,2.0254526844217
4.846,2.017991431849
5.000,2.0098913042837
