Wavelength (nm)	Tan(Psi)	Cos(Del)
250.0	0.6634	0.4062
251.2	0.6612	0.4049
252.3	0.6604	0.4007
253.5	0.6603	0.3991
254.7	0.6615	0.3961
255.9	0.6631	0.3909
257.0	0.6636	0.3881
258.2	0.6626	0.3854
259.4	0.6627	0.3788
260.6	0.6602	0.3743
261.7	0.6616	0.3687
262.9	0.6636	0.3634
264.1	0.6663	0.3605
265.3	0.6657	0.3592
266.4	0.6656	0.3540
267.6	0.6639	0.3523
268.8	0.6622	0.3487
270.0	0.6632	0.3459
271.1	0.6630	0.3421
272.3	0.6630	0.3358
273.5	0.6627	0.3330
274.7	0.6628	0.3288
275.8	0.6635	0.3261
277.0	0.6639	0.3233
278.2	0.6643	0.3177
279.4	0.6657	0.3136
280.5	0.6656	0.3066
281.7	0.6661	0.3024
282.9	0.6658	0.2974
284.1	0.6638	0.2916
285.2	0.6644	0.2883
286.4	0.6648	0.2836
287.6	0.6657	0.2807
288.7	0.6661	0.2777
289.9	0.6666	0.2738
291.1	0.6666	0.2681
292.3	0.6670	0.2616
293.4	0.6673	0.2573
294.6	0.6659	0.2552
295.8	0.6656	0.2537
297.0	0.6641	0.2507
298.1	0.6633	0.2473
299.3	0.6634	0.2433
300.5	0.6626	0.2393
301.7	0.6628	0.2365
302.8	0.6629	0.2321
304.0	0.6641	0.2279
305.2	0.6643	0.2240
306.4	0.6649	0.2191
307.5	0.6654	0.2149
308.7	0.6660	0.2126
309.9	0.6649	0.2096
311.1	0.6644	0.2059
312.2	0.6639	0.2002
313.4	0.6646	0.1966
314.6	0.6645	0.1942
315.8	0.6642	0.1916
316.9	0.6641	0.1885
318.1	0.6644	0.1841
319.3	0.6635	0.1796
320.5	0.6624	0.1763
321.6	0.6618	0.1743
322.8	0.6626	0.1710
324.0	0.6646	0.1682
325.1	0.6648	0.1660
326.3	0.6637	0.1621
327.5	0.6632	0.1588
328.7	0.6612	0.1537
329.8	0.6595	0.1493
331.0	0.6575	0.1452
332.2	0.6576	0.1422
333.4	0.6570	0.1408
334.5	0.6592	0.1396
335.7	0.6609	0.1365
336.9	0.6618	0.1322
338.1	0.6617	0.1287
339.2	0.6618	0.1251
340.4	0.6617	0.1227
341.6	0.6618	0.1207
342.8	0.6633	0.1161
343.9	0.6639	0.1125
345.1	0.6635	0.1098
346.3	0.6625	0.1068
347.5	0.6609	0.1042
348.6	0.6602	0.1006
349.8	0.6592	0.0975
351.0	0.6592	0.0949
352.2	0.6604	0.0925
353.3	0.6618	0.0893
354.5	0.6629	0.0873
355.7	0.6632	0.0847
356.8	0.6629	0.0819
358.0	0.6609	0.0798
359.2	0.6606	0.0772
360.4	0.6615	0.0756
361.5	0.6632	0.0722
362.7	0.6640	0.0693
363.9	0.6636	0.0665
365.1	0.6635	0.0649
366.2	0.6642	0.0637
367.4	0.6645	0.0601
368.6	0.6627	0.0551
369.8	0.6613	0.0500
370.9	0.6597	0.0463
372.1	0.6608	0.0427
373.3	0.6605	0.0413
374.5	0.6597	0.0400
375.6	0.6606	0.0372
376.8	0.6596	0.0358
378.0	0.6605	0.0328
379.2	0.6605	0.0311
380.3	0.6607	0.0305
381.5	0.6622	0.0273
382.7	0.6612	0.0250
383.9	0.6626	0.0208
385.0	0.6638	0.0153
386.2	0.6638	0.0106
387.4	0.6630	0.0058
388.6	0.6633	0.0004
389.7	0.6648	-0.0036
390.9	0.6643	-0.0091
392.1	0.6649	-0.0121
393.2	0.6654	-0.0141
394.4	0.6657	-0.0145
395.6	0.6647	-0.0131
396.8	0.6645	-0.0135
397.9	0.6644	-0.0144
399.1	0.6641	-0.0170
400.3	0.6640	-0.0197
401.5	0.6642	-0.0220
402.6	0.6641	-0.0248
403.8	0.6645	-0.0269
405.0	0.6639	-0.0304
406.2	0.6642	-0.0336
407.3	0.6639	-0.0365
408.5	0.6645	-0.0388
409.7	0.6643	-0.0414
410.9	0.6632	-0.0441
412.0	0.6632	-0.0462
413.2	0.6630	-0.0469
414.4	0.6632	-0.0494
415.6	0.6633	-0.0509
416.7	0.6635	-0.0535
417.9	0.6638	-0.0561
419.1	0.6640	-0.0589
420.3	0.6650	-0.0620
421.4	0.6644	-0.0639
422.6	0.6654	-0.0654
423.8	0.6657	-0.0679
425.0	0.6668	-0.0702
426.1	0.6677	-0.0727
427.3	0.6680	-0.0735
428.5	0.6683	-0.0756
429.6	0.6683	-0.0778
430.8	0.6684	-0.0806
432.0	0.6688	-0.0831
433.2	0.6689	-0.0852
434.3	0.6695	-0.0876
435.5	0.6694	-0.0903
436.7	0.6697	-0.0927
437.9	0.6694	-0.0952
