Wavelength (nm)	Tan(Psi)	Cos(Del)
250.0	0.6775	-0.0258
252.4	0.6805	-0.0454
254.7	0.6821	-0.0649
257.1	0.6858	-0.0937
259.4	0.6873	-0.1209
261.8	0.6899	-0.1486
264.1	0.6913	-0.1822
266.5	0.6887	-0.2134
268.8	0.6873	-0.2497
271.2	0.6830	-0.2878
273.5	0.6726	-0.3234
275.9	0.6592	-0.3539
278.2	0.6470	-0.3865
280.6	0.6352	-0.4183
282.9	0.6194	-0.4503
285.3	0.6007	-0.4825
287.6	0.5771	-0.5132
290.0	0.5526	-0.5382
292.4	0.5276	-0.5545
294.7	0.5041	-0.5621
297.1	0.4846	-0.5627
299.4	0.4673	-0.5623
301.8	0.4515	-0.5646
304.1	0.4391	-0.5681
306.5	0.4332	-0.5628
308.8	0.4276	-0.5544
311.2	0.4204	-0.5534
313.5	0.4138	-0.5546
315.9	0.4075	-0.5606
318.2	0.4015	-0.5642
320.6	0.3952	-0.5651
322.9	0.3922	-0.5633
325.3	0.3872	-0.5676
327.6	0.3854	-0.5703
330.0	0.3824	-0.5741
332.4	0.3820	-0.5760
334.7	0.3794	-0.5816
337.1	0.3724	-0.5918
339.4	0.3706	-0.6010
341.8	0.3698	-0.6101
344.1	0.3672	-0.6185
346.5	0.3678	-0.6297
348.8	0.3699	-0.6375
351.2	0.3741	-0.6483
353.5	0.3734	-0.6652
355.9	0.3741	-0.6809
358.2	0.3758	-0.7064
360.6	0.3794	-0.7299
362.9	0.3794	-0.7611
365.3	0.3753	-0.7893
367.6	0.3661	-0.8165
370.0	0.3530	-0.8460
372.4	0.3378	-0.8724
374.7	0.3223	-0.8873
377.1	0.3088	-0.8916
379.4	0.2949	-0.8954
381.8	0.2791	-0.9008
384.1	0.2638	-0.9087
386.5	0.2529	-0.9069
388.8	0.2412	-0.9075
391.2	0.2312	-0.9020
393.5	0.2242	-0.9031
395.9	0.2199	-0.8980
398.2	0.2100	-0.9094
400.6	0.2001	-0.9260
402.9	0.1943	-0.9159
405.3	0.1882	-0.9041
407.6	0.1804	-0.9146
410.0	0.1733	-0.9268
412.4	0.1691	-0.9212
414.7	0.1637	-0.9202
417.1	0.1608	-0.9120
419.4	0.1568	-0.9070
421.8	0.1501	-0.9194
424.1	0.1441	-0.9334
426.5	0.1394	-0.9399
428.8	0.1390	-0.9147
431.2	0.1349	-0.9095
433.5	0.1313	-0.9083
435.9	0.1263	-0.9160
438.2	0.1215	-0.9292
440.6	0.1163	-0.9380
442.9	0.1116	-0.9561
445.3	0.1101	-0.9402
447.6	0.1099	-0.9183
450.0	0.1042	-0.9436
452.4	0.1008	-0.9515
454.7	0.0981	-0.9482
457.1	0.0966	-0.9363
459.4	0.0946	-0.9381
461.8	0.0894	-0.9656
464.1	0.0834	-1.0062
466.5	0.0806	-1.0133
468.8	0.0782	-1.0214
471.2	0.0775	-1.0034
473.5	0.0761	-0.9992
475.9	0.0717	-1.0458
478.2	0.0711	-1.0564
480.6	0.0697	-1.0136
482.9	0.0681	-1.0114
485.3	0.0718	-0.9152
487.6	0.0733	-0.8801
490.0	0.0726	-0.8732
492.4	0.0732	-0.8392
494.7	0.0702	-0.8636
497.1	0.0686	-0.8634
499.4	0.0709	-0.7973
501.8	0.0748	-0.7312
504.1	0.0779	-0.6709
506.5	0.0779	-0.6573
508.8	0.0741	-0.6731
511.2	0.0744	-0.6459
513.5	0.0759	-0.6106
515.9	0.0746	-0.6014
518.2	0.0724	-0.6182
520.6	0.0710	-0.6099
522.9	0.0686	-0.6148
525.3	0.0656	-0.6189
527.6	0.0649	-0.6076
530.0	0.0638	-0.6048
532.4	0.0634	-0.6084
534.7	0.0631	-0.5776
537.1	0.0623	-0.5648
539.4	0.0583	-0.6134
541.8	0.0541	-0.5764
544.1	0.0503	-0.6054
546.5	0.0425	-0.6238
548.8	0.0396	-0.6154
551.2	0.0431	-0.6670
553.5	0.0428	-0.4098
555.9	0.0328	-0.4886
558.2	0.0248	-0.3662
560.6	0.0267	-0.3282
562.9	0.0198	-0.1059
565.3	0.0162	-0.2284
567.6	0.0117	0.0792
570.0	0.0128	0.2399
572.4	0.0173	0.1169
574.7	0.0159	0.1561
577.1	0.0130	0.2990
579.4	0.0094	0.0724
581.8	0.0165	0.0605
